,t,cumCases
2020-02-15,0,61.5
2020-02-16,1,62.5
2020-02-17,2,63.5
2020-02-18,3,64.5
2020-02-19,4,66.0
2020-02-20,5,68.0
2020-02-21,6,69.75
2020-02-22,7,71.25
2020-02-23,8,72.5
2020-02-24,9,73.5
2020-02-25,10,76.5
2020-02-26,11,83.5
2020-02-27,12,107.5
2020-02-28,13,154.5
2020-02-29,14,177.5
2020-03-01,15,212.5
2020-03-02,16,254.5
2020-03-03,17,338.5
2020-03-04,18,495.5
2020-03-05,19,681.5
2020-03-06,20,868.5
2020-03-07,21,1010.5
2020-03-08,22,1113.5
2020-03-09,23,1458.5
2020-03-10,24,2053.5
2020-03-11,25,2809.5
2020-03-12,26,3801.5
2020-03-13,27,5261.5
2020-03-14,28,6564.5
2020-03-15,29,7544.5
2020-03-16,30,9581.5
2020-03-17,31,12606.5
2020-03-18,32,16205.5
2020-03-19,33,20262.5
2020-03-20,34,24312.5
2020-03-21,35,27668.5
2020-03-22,36,29932.5
2020-03-23,37,33660.5
2020-03-24,38,38538.5
2020-03-25,39,44218.5
2020-03-26,40,50119.5
2020-03-27,41,56096.5
2020-03-28,42,60818.5
2020-03-29,43,63894.5
2020-03-30,44,68010.5
2020-03-31,45,74071.5
2020-04-01,46,80327.5
